Row ID,Order ID,Order Month in word,Order Date,Ship Date,Avg Shipping time,Order year,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1,ID-2015-445556,Oct,10/23/2015,10/25/2015,2,2015,Second Class,JS-76126,John Smith,Corporate,United States,Memphis,Tennessee,42404,South,OFF-BI-73230063,Office Supplies,Binders,Avery Durable Ring Binders,15
2,VE-2018-938118,Jul,7/27/2018,7/27/2018,0,2018,Same Day,DT-73437,David Taylor,Consumer,United States,Greenville,Wyoming,57438,West,OFF-ST-81682984,Office Supplies,Storage,Plastic Stackable Storage,14
3,MA-2018-234304,Feb,2/26/2018,3/1/2018,3,2018,Standard Class,SM-19430,Susan Martinez,Consumer,United States,Riverside,New Jersey,72619,East,TEC-CO-45314359,Technology,Copiers,Brother Laser Copier,26
4,NE-2017-997361,Nov,11/16/2017,11/21/2017,5,2017,Standard Class,EM-70163,Emily Martinez,Consumer,United States,Greenville,New Mexico,38544,West,OFF-ST-55037782,Office Supplies,Storage,Desktop File Organizer,33
5,RH-2017-441212,Sep,9/16/2017,9/17/2017,1,2017,First Class,SM-51300,Sean Moore,Corporate,United States,Springfield,Utah,52988,West,TEC-CO-26883200,Technology,Copiers,Brother Laser Copier,109
6,MI-2019-683896,Apr,4/24/2019,4/29/2019,5,2019,Standard Class,JM-59230,James Martinez,Corporate,United States,Tacoma,Washington,83538,West,OFF-BI-65692892,Office Supplies,Binders,Cardinal Heavyweight Binders,23
7,MA-2015-971115,Mar,3/10/2015,3/13/2015,3,2015,Second Class,SM-24186,Sarah Moore,Consumer,United States,Tucson,Arizona,77081,West,TEC-CO-84599099,Technology,Copiers,Brother Laser Copier,40
8,MI-2018-151840,Jul,7/26/2018,8/1/2018,6,2018,Standard Class,RG-52707,Robert Gute,Consumer,United States,Greenville,West Virginia,82759,East,FUR-BO-55812201,Furniture,Bookcases,Bush Somerset Collection Bookcase,35
9,MA-2016-930577,May,5/15/2016,5/19/2016,4,2016,Standard Class,LM-35516,Laura Moore,Consumer,United States,Greenville,Montana,98859,West,FUR-CH-42595630,Furniture,Chairs,Global Deluxe Stacking Chair,56
10,MA-2015-611029,Jan,1/4/2015,1/7/2015,3,2015,Second Class,JM-45631,John Martinez,Home Office,United States,Aurora,Colorado,43329,West,TEC-CO-98628266,Technology,Copiers,Brother Laser Copier,40
11,WI-2017-733956,Jan,1/3/2017,1/8/2017,5,2017,Standard Class,WL-46364,William Lee,Consumer,United States,Fairview,Idaho,77237,West,FUR-CH-22688860,Furniture,Chairs,Global Deluxe Stacking Chair,29
12,TE-2019-234265,Nov,11/26/2019,11/30/2019,4,2019,Standard Class,RJ-59035,Robert Jackson,Corporate,United States,Springfield,Nebraska,64250,Central,TEC-PH-46983657,Technology,Phones,Apple iPhone 8,24
13,WE-2018-580048,Oct,10/2/2018,10/5/2018,3,2018,Second Class,JA-79574,John Anderson,Consumer,United States,Riverside,Minnesota,69993,Central,OFF-BI-88603636,Office Supplies,Binders,Basic 3 Ring Binder,24
14,MO-2018-706161,Jan,1/9/2018,1/11/2018,2,2018,Second Class,JG-29605,John Garcia,Consumer,United States,Raleigh,North Carolina,76587,South,TEC-CO-91043266,Technology,Copiers,Canon imageCLASS Copier,107
15,ID-2018-510622,Jul,7/11/2018,7/12/2018,1,2018,First Class,LM-25741,Laura Moore,Corporate,United States,Springfield,Utah,77475,West,TEC-AC-98234388,Technology,Accessories,Logitech Wireless Mouse,56
16,NE-2018-239486,Jun,6/6/2018,6/11/2018,5,2018,Standard Class,EL-93063,Emily Lee,Consumer,United States,Greenville,New Mexico,89716,West,TEC-PH-89636282,Technology,Phones,Cisco Unified IP Phone,34
17,AR-2017-319706,Sep,9/10/2017,9/16/2017,6,2017,Standard Class,SJ-38341,Sean Johnson,Consumer,United States,Greenville,Connecticut,41438,East,OFF-PA-14586132,Office Supplies,Paper,Premium Photo Paper,70
18,NE-2015-868952,Jan,1/23/2015,1/23/2015,0,2015,Same Day,RJ-58294,Robert Johnson,Home Office,United States,Springfield,Iowa,68812,Central,TEC-AC-93678984,Technology,Accessories,USB-C Hub,37
19,TE-2019-131023,Nov,11/1/2019,11/6/2019,5,2019,Standard Class,SM-18915,Sarah Moore,Consumer,United States,Springfield,Idaho,35225,West,FUR-TA-48535046,Furniture,Tables,Adjustable Height Table,93
20,PE-2017-737975,Jun,6/25/2017,7/1/2017,6,2017,Standard Class,WM-91893,William Miller,Consumer,United States,Riverside,New Mexico,63510,West,OFF-ST-68645726,Office Supplies,Storage,Fellowes Bankers Box,77
21,TE-2017-999450,Sep,9/26/2017,9/29/2017,3,2017,Standard Class,DM-81181,Daniel Martinez,Consumer,United States,Riverside,New Hampshire,77605,East,TEC-PH-45484827,Technology,Phones,Apple iPhone 8,55
22,IN-2016-106734,May,5/12/2016,5/17/2016,5,2016,Standard Class,JJ-55914,Jessica Johnson,Consumer,United States,Seattle,Washington,81189,West,TEC-AC-83230126,Technology,Accessories,Noise Cancelling Headphones,22
23,TE-2015-244940,Sep,9/5/2015,9/6/2015,1,2015,First Class,SG-64569,Sarah Gute,Corporate,United States,Riverside,Maine,47810,East,TEC-CO-61832734,Technology,Copiers,Brother Laser Copier,209
24,ID-2019-706729,Mar,3/19/2019,3/22/2019,3,2019,Second Class,KM-33719,Karen Miller,Consumer,United States,Fairview,North Dakota,55784,Central,FUR-BO-86099016,Furniture,Bookcases,Ikea Billy Bookcase,50
25,MI-2018-153991,Sep,9/4/2018,9/7/2018,3,2018,Second Class,KB-36105,Karen Brown,Home Office,United States,Riverside,West Virginia,40046,East,FUR-BO-27439432,Furniture,Bookcases,Ikea Billy Bookcase,33
26,WY-2018-630810,Jul,7/11/2018,7/17/2018,6,2018,Standard Class,DD-54792,Daniel Davis,Corporate,United States,Springfield,Vermont,25213,East,FUR-TA-26648478,Furniture,Tables,Conference Room Table,71
27,NE-2017-715599,Jul,7/28/2017,8/1/2017,4,2017,Standard Class,DM-42391,David Miller,Home Office,United States,Fairview,Rhode Island,33446,East,TEC-PH-49633911,Technology,Phones,Cisco Unified IP Phone,81
28,MA-2019-629331,Jan,1/28/2019,2/2/2019,5,2019,Standard Class,SJ-26709,Sean Jackson,Home Office,United States,Tampa,Florida,92091,South,FUR-CH-10427639,Furniture,Chairs,Ergonomic Mesh Task Chair,87
29,RH-2017-428665,Jun,6/24/2017,6/28/2017,4,2017,Standard Class,LJ-39164,Laura Johnson,Home Office,United States,Springfield,West Virginia,37806,East,FUR-CH-72356765,Furniture,Chairs,Ergonomic Mesh Task Chair,27
30,MA-2017-727553,Jun,6/10/2017,6/16/2017,6,2017,Standard Class,JM-26003,Jessica Moore,Corporate,United States,Chicago,Illinois,97727,Central,TEC-AC-36644835,Technology,Accessories,Logitech Wireless Mouse,64
31,WE-2017-634864,Oct,10/21/2017,10/24/2017,3,2017,Standard Class,SJ-38976,Susan Jackson,Consumer,United States,Augusta,Georgia,31732,South,FUR-BO-60156940,Furniture,Bookcases,Sauder Classic Bookcase,20
32,OH-2016-286873,Feb,2/20/2016,2/24/2016,4,2016,Standard Class,ST-18201,Susan Thomas,Consumer,United States,Fairview,Wyoming,75075,West,TEC-AC-16300320,Technology,Accessories,Logitech Wireless Mouse,79
33,AL-2015-606821,Oct,10/12/2015,10/14/2015,2,2015,Second Class,LJ-87085,Laura Jackson,Corporate,United States,Chandler,Arizona,61650,West,TEC-AC-25357992,Technology,Accessories,Logitech Wireless Mouse,52
34,NE-2017-893715,Dec,12/20/2017,12/23/2017,3,2017,Second Class,MM-48287,Michael Miller,Consumer,United States,Fairview,Vermont,72717,East,FUR-TA-66057324,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,47
35,GE-2019-700149,May,5/1/2019,5/4/2019,3,2019,Standard Class,EM-66851,Emily Martin,Corporate,United States,Riverside,New Jersey,67955,East,FUR-BO-37509636,Furniture,Bookcases,Sauder Classic Bookcase,36
36,OK-2015-524611,Sep,9/7/2015,9/11/2015,4,2015,Standard Class,LT-74341,Linda Taylor,Consumer,United States,Springfield,New Mexico,73606,West,FUR-CH-29324974,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",34
37,SO-2019-389425,Oct,10/16/2019,10/19/2019,3,2019,Second Class,SM-14184,Sean Miller,Home Office,United States,Springfield,Idaho,91498,West,TEC-PH-30596184,Technology,Phones,Android Smartphone,31
